X,Y,crb_tree_inspection_key,DeviceID,uploaded,date,latitude,longitude,palm_type,grouping,crb_damage,notes
0,0,020800d2-e311-4103-9b41-ffe4833f6c2c,68611ef4928e4811,2015-02-20 01:17:23,02/20/2015,0,0,,,no CRB damage,
144.561523,13.57418,9cc1836a-3587-4887-a6d8-3040c1c0f6f3,web,2015-02-20 03:31:12,02/17/2015,13.57418,144.561523,other palm,single,no CRB damage,*(DOC 30)
144.096939,13.57555,67eae3c0-9bc0-4fd1-c214-4622cb478dfe,web,2015-02-20 04:35:24,02/17/2015,13.57555,144.096939,other palm,group,no CRB damage,*(DOC 117); GROUP 5 TREES (CHINESE)
144.93396,99.999999,f5ac96af-4b33-4de0-8254-67eec383cc5c,web,2015-02-20 04:54:57,02/18/2015,99.999999,144.93396,other palm,single,no CRB damage,*(DOC 82); TYPE OF PALM UNKNOWN
144.925568,0,26ebd5e4-e1c5-4c34-c960-1774d93f9ac6,web,2015-02-20 05:26:27,02/17/2015,0,144.925568,coconut,single,no CRB damage,*(DOC 182)
144.936264,13.755583,3e0dd388-0954-4ea8-8422-0b9520bc07da,web,2015-02-22 03:31:47,02/17/2015,13.755583,144.936264,coconut,single,new damage,(DOC 41); 4 MONTHS
14.9239,13.57126,1ff13119-2688-4f5e-b424-1ad9844ae46a,web,2015-02-22 04:33:41,02/17/2015,13.57126,14.9239,coconut,single,no CRB damage,*(DOC 195); NO DAMAGE
144,13.5776,3853084c-b40e-4c7a-a6eb-f5e62d1f115c,web,2015-02-22 04:43:45,02/16/2015,13.5776,144,coconut,single,standing dead palm (snag),"**(DOC 202); STANDING SNAG, DEAD TREE NEEDS TO BE CUT DOWN/REMO"
0,0,a1222912-a3dd-421b-9590-534ad1f07d49,fa4011a8ecb08046,2015-02-23 06:39:06,02/23/2015,0,0,coconut,single,no CRB damage,
0,0,58f90ebc-1db3-410f-84be-ad7bcf99f608,fa4011a8ecb08046,2015-02-23 06:39:07,02/23/2015,0,0,coconut,single,no CRB damage,
0,0,31137c6c-5901-463a-84b4-7ee04c77b2da,fa4011a8ecb08046,2015-02-23 06:39:44,02/23/2015,0,0,,,no CRB damage,
0,0,9bd31672-8d52-416a-82df-4d3729813ed8,b4c384381083e7ee,2015-02-24 03:14:57,02/24/2015,0,0,coconut,group,no CRB damage,
0,0,130e6d5c-355e-4891-8616-7be5b7a3c5f7,68611ef4928e4811,2015-02-24 01:32:25,02/24/2015,0,0,coconut,single,no CRB damage,
0,0,3c6bf9d6-e16a-40c0-bcdd-06d6b564c2c0,fa4011a8ecb08046,2015-02-24 04:04:38,02/24/2015,0,0,coconut,single,no CRB damage,
0,0,be6f9a7c-8897-4cc9-a222-5276f99e80a3,68611ef4928e4811,2015-02-24 22:12:58,02/24/2015,0,0,coconut,single,no CRB damage,
0,0,c494429d-7e2a-4539-8da4-a7a8c225c843,68611ef4928e4811,2015-02-25 06:51:38,02/25/2015,0,0,coconut,single,no CRB damage,
0,0,40a7a83c-cd11-43cf-9e44-517390c65dd4,f180520b7f44621b,2015-02-26 04:38:19,02/26/2015,0,0,,,no CRB damage,
